Comment,Designator,Footprint,LCSC
"M1 OUTPUT","J1","TerminalBlock:TerminalBlock_Altech_AK300-3_P5.00mm","C5142611"
"RC_ENABLE","J10","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","C5116481"
"TO M2 ENCODER","J11","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","C157991"
"M2 INPUT","J12","Custom:TerminalBlock_Altech_AK300-5_P5.00mm","C395854"
"RC CH 3","J15","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","C161870"
"TO M1 ENCODER","J2","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","C157991"
"M1 INPUT","J3","Custom:TerminalBlock_Altech_AK300-5_P5.00mm","C395854"
"M2 OUTPUT","J4","TerminalBlock:TerminalBlock_Altech_AK300-3_P5.00mm","C5142611"
"I2C","J5","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","C158012"
"TEST SWITCH","J6","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","C158012"
"RC CH 1","J7","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","C161870"
"RC CH 2","J8","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","C161870"
"RC_PWR","J9","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","C5116481"
"5v","POWER1","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","C158012"
"SERIAL","SERIAL1","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","C158012"
"SN74HC14NR","U2,U5","Package_DIP:DIP-14_W7.62mm","C2907"